1303 20021001 009883 000000 BURLINGTON, VT
1303 20031001 010052 000000 BURLINGTON, VT
1303 20050101 009322 000000 BURLINGTON, VT
1310 20001001 004561 000000 CAGUAS, PR
1310 20011001 004562 000000 CAGUAS, PR
1310 20021001 004699 000000 CAGUAS, PR
1310 20031001 004371 000000 CAGUAS, PR
1310 20050101 004061 000000 CAGUAS, PR
1320 20001001 008772 000000 CANTON-MASSILLON, OH
1320 20011001 008584 000000 CANTON-MASSILLON, OH
1320 20021001 008956 000000 CANTON-MASSILLON, OH
1320 20031001 008932 000000 CANTON-MASSILLON, OH
1320 20050101 008895 000000 CANTON-MASSILLON, OH
1350 20001001 009200 000000 CASPER, WY
1350 20011001 008724 000000 CASPER, WY
1350 20021001 009496 000000 CASPER, WY
1350 20031001 009690 000000 CASPER, WY
1350 20050101 009243 000000 CASPER, WY
1360 20001001 009019 000000 CEDAR RAPIDS, IA
1360 20011001 008736 000000 CEDAR RAPIDS, IA
1360 20021001 008699 000000 CEDAR RAPIDS, IA
1360 20031001 009056 000000 CEDAR RAPIDS, IA
1360 20050101 008975 000000 CEDAR RAPIDS, IA
1400 20001001 009164 000000 CHAMPAIGN-URBANA, IL
1400 20011001 009198 000000 CHAMPAIGN-URBANA, IL
1400 20021001 009306 000000 CHAMPAIGN-URBANA, IL
1400 20031001 010635 000000 CHAMPAIGN-URBANA, IL
1400 20050101 009527 000000 CHAMPAIGN-URBANA, IL
1440 20001001 008989 000000 CHARLESTON-NORTH CHARLESTON, SC
1440 20011001 009038 000000 CHARLESTON-NORTH CHARLESTON, SC
1440 20021001 009206 000000 CHARLESTON-NORTH CHARLESTON, SC
1440 20031001 009235 000000 CHARLESTON-NORTH CHARLESTON, SC
1440 20050101 009420 000000 CHARLESTON-NORTH CHARLESTON, SC
1480 20001001 009096 000000 CHARLESTON, WV
1480 20011001 009240 000000 CHARLESTON, WV
1480 20021001 009264 000000 CHARLESTON, WV
1480 20031001 008898 000000 CHARLESTON, WV
1480 20050101 008876 000000 CHARLESTON, WV
1520 20001001 009434 000000 CHARLOTTE-GASTONIA-ROCK HILL, NC-SC
1520 20011001 009391 000000 CHARLOTTE-GASTONIA-ROCK HILL, NC-SC
1520 20021001 009336 000000 CHARLOTTE-GASTONIA-ROCK HILL, NC-SC
1520 20031001 009850 000000 CHARLOTTE-GASTONIA-ROCK HILL, NC-SC
1520 20050101 009711 000000 CHARLOTTE-GASTONIA-ROCK HILL, NC-SC
1540 20001001 010575 000000 CHARLOTTESVILLE, VA
1540 20011001 010789 000000 CHARLOTTESVILLE, VA
1540 20021001 010566 000000 CHARLOTTESVILLE, VA
1540 20031001 010438 000000 CHARLOTTESVILLE, VA
1540 20050101 010294 000000 CHARLOTTESVILLE, VA
1560 20001001 009732 000000 CHATTANOOGA, TN-GA
1560 20011001 009833 000000 CHATTANOOGA, TN-GA
1560 20021001 009369 000000 CHATTANOOGA, TN-GA
1560 20031001 008976 000000 CHATTANOOGA, TN-GA
1560 20050101 009207 000000 CHATTANOOGA, TN-GA
1580 20001001 008176 000000 CHEYENNE, WY
1580 20011001 008308 000000 CHEYENNE, WY
1580 20021001 008288 000000 CHEYENNE, WY
1580 20031001 008628 000000 CHEYENNE, WY
1580 20050101 008980 000000 CHEYENNE, WY
1600 20001001 010874 000000 CHICAGO, IL
1600 20011001 011146 000000 CHICAGO, IL
1600 20021001 011046 000000 CHICAGO, IL
1600 20031001 011044 000000 CHICAGO, IL
1600 20050101 010851 000000 CHICAGO, IL
1620 20001001 010391 000000 CHICO-PARADISE, CA
1620 20011001 009918 000000 CHICO-PARADISE, CA
1620 20021001 009856 000000 CHICO-PARADISE, CA
1620 20031001 009745 000000 CHICO-PARADISE, CA
1620 20050101 010542 000000 CHICO-PARADISE, CA
1640 20001001 009419 000000 CINCINNATI, OH-KY-IN
1640 20011001 009415 000000 CINCINNATI, OH-KY-IN
1640 20021001 009473 000000 CINCINNATI, OH-KY-IN
1640 20031001 009381 000000 CINCINNATI, OH-KY-IN
1640 20050101 009595 000000 CINCINNATI, OH-KY-IN
1660 20001001 008090 000000 CLARKSVILLE-HOPKINSVILLE, TN-KY
1660 20011001 008204 000000 CLARKSVILLE-HOPKINSVILLE, TN-KY
1660 20021001 008337 000000 CLARKSVILLE-HOPKINSVILLE, TN-KY
1660 20031001 008406 000000 CLARKSVILLE-HOPKINSVILLE, TN-KY
1660 20050101 008022 000000 CLARKSVILLE-HOPKINSVILLE, TN-KY
1680 20001001 009689 000000 CLEVELAND-LORAIN-ELYRIA, OH
1680 20011001 009597 000000 CLEVELAND-LORAIN-ELYRIA, OH
1680 20021001 009457 000000 CLEVELAND-LORAIN-ELYRIA, OH
1680 20031001 009670 000000 CLEVELAND-LORAIN-ELYRIA, OH
1680 20050101 009626 000000 CLEVELAND-LORAIN-ELYRIA, OH
1720 20001001 009218 000000 COLORADO SPRINGS,  CO
1720 20011001 009697 000000 COLORADO SPRINGS,  CO
1720 20021001 009744 000000 COLORADO SPRINGS,  CO
1720 20031001 009916 000000 COLORADO SPRINGS,  CO
1720 20050101 009792 000000 COLORADO SPRINGS,  CO
1740 20001001 008905 000000 COLUMBIA, MO
1740 20011001 008961 000000 COLUMBIA, MO
1740 20021001 008686 000000 COLUMBIA, MO
1740 20031001 008496 000000 COLUMBIA, MO
1740 20050101 008396 000000 COLUMBIA, MO
1760 20001001 009358 000000 COLUMBIA, SC
1760 20011001 009554 000000 COLUMBIA, SC
1760 20021001 009492 000000 COLUMBIA, SC
1760 20031001 009307 000000 COLUMBIA, SC
1760 20050101 009450 000000 COLUMBIA, SC
1800 20001001 008511 000000 COLUMBUS, GA-AL
1800 20011001 008568 000000 COLUMBUS, GA-AL
1800 20021001 008440 000000 COLUMBUS, GA-AL
1800 20031001 008374 000000 COLUMBUS, GA-AL
1800 20050101 008690 000000 COLUMBUS, GA-AL
1840 20001001 009908 000000 COLUMBUS, OH
1840 20011001 009619 000000 COLUMBUS, OH
1840 20021001 009565 000000 COLUMBUS, OH
1840 20031001 009751 000000 COLUMBUS, OH
1840 20050101 009753 000000 COLUMBUS, OH
1880 20001001 008702 000000 CORPUS CHRISTI, TX
1880 20011001 008726 000000 CORPUS CHRISTI, TX
1880 20021001 008341 000000 CORPUS CHRISTI, TX
1880 20031001 008729 000000 CORPUS CHRISTI, TX
1880 20050101 008647 000000 CORPUS CHRISTI, TX
1890 20001001 011088 000000 CORVALLIS, OR
1890 20011001 011326 000000 CORVALLIS, OR
1890 20021001 011646 000000 CORVALLIS, OR
1890 20031001 011453 000000 CORVALLIS, OR
1890 20050101 010545 000000 CORVALLIS, OR
1900 20001001 008802 000000 CUMBERLAND, MD-WV
1900 20011001 008369 000000 CUMBERLAND, MD-WV
1900 20021001 008306 000000 CUMBERLAND, MD-WV
1900 20031001 007847 000000 CUMBERLAND, MD-WV
1900 20050101 008662 000000 CUMBERLAND, MD-WV
1920 20001001 009607 000000 DALLAS, TX
1920 20011001 009913 000000 DALLAS, TX
1920 20021001 009936 000000 DALLAS, TX
1920 20031001 009998 000000 DALLAS, TX
1920 20050101 010054 000000 DALLAS, TX
1950 20001001 009062 000000 DANVILLE, VA
1950 20011001 008589 000000 DANVILLE, VA
1950 20021001 008613 000000 DANVILLE, VA
1950 20031001 008859 000000 DANVILLE, VA
1950 20050101 008643 000000 DANVILLE, VA
1960 20001001 008707 000000 DAVENPORT-ROCK ISLAND-MOLINE, IA-IL
1960 20011001 008898 000000 DAVENPORT-ROCK ISLAND-MOLINE, IA-IL
1960 20021001 008638 000000 DAVENPORT-ROCK ISLAND-MOLINE, IA-IL
1960 20031001 008835 000000 DAVENPORT-ROCK ISLAND-MOLINE, IA-IL
1960 20050101 008773 000000 DAVENPORT-ROCK ISLAND-MOLINE, IA-IL
2000 20001001 009461 000000 DAYTON-SPRINGFIELD, OH
2000 20011001 009442 000000 DAYTON-SPRINGFIELD, OH
2000 20021001 009225 000000 DAYTON-SPRINGFIELD, OH
2000 20031001 009282 000000 DAYTON-SPRINGFIELD, OH
2000 20050101 009231 000000 DAYTON-SPRINGFIELD, OH
2020 20001001 008988 000000 DAYTONA BEACH, FL
2020 20011001 009200 000000 DAYTONA BEACH, FL
2020 20021001 008972 000000 DAYTONA BEACH, FL
2020 20031001 009062 000000 DAYTONA BEACH, FL
2020 20050101 008900 000000 DAYTONA BEACH, FL
2030 20001001 008680 000000 DECATUR, AL
2030 20011001 008534 000000 DECATUR, AL
2030 20021001 008775 000000 DECATUR, AL
2030 20031001 008973 000000 DECATUR, AL
2030 20050101 008894 000000 DECATUR, AL
2040 20001001 008322 000000 DECATUR, IL
2040 20011001 008125 000000 DECATUR, IL
2040 20021001 007987 000000 DECATUR, IL
2040 20031001 008055 000000 DECATUR, IL
2040 20050101 008122 000000 DECATUR, IL
2080 20001001 010190 000000 DENVER, CO
2080 20011001 010181 000000 DENVER, CO
2080 20021001 010328 000000 DENVER, CO
2080 20031001 010601 000000 DENVER, CO
2080 20050101 010904 000000 DENVER, CO
2120 20001001 008755 000000 DES MOINES, IA
2120 20011001 009118 000000 DES MOINES, IA
2120 20021001 008779 000000 DES MOINES, IA
2120 20031001 008791 000000 DES MOINES, IA
2120 20050101 009266 000000 DES MOINES, IA
2160 20001001 010422 000000 DETROIT, MI
2160 20011001 010510 000000 DETROIT, MI
2160 20021001 010487 000000 DETROIT, MI
2160 20031001 010448 000000 DETROIT, MI
2160 20050101 010227 000000 DETROIT, MI
2180 20001001 007799 000000 DOTHAN, AL
2180 20011001 007943 000000 DOTHAN, AL
2180 20021001 007948 000000 DOTHAN, AL
2180 20031001 008137 000000 DOTHAN, AL
2180 20050101 007596 000000 DOTHAN, AL
2190 20001001 009336 000000 DOVER, DE
2190 20011001 010078 000000 DOVER, DE
2190 20021001 010296 000000 DOVER, DE
2190 20031001 009356 000000 DOVER, DE
2190 20050101 009825 000000 DOVER, DE
2200 20001001 008521 000000 DUBUQUE, IA
2200 20011001 008746 000000 DUBUQUE, IA
2200 20021001 008519 000000 DUBUQUE, IA
2200 20031001 008795 000000 DUBUQUE, IA
2200 20050101 008748 000000 DUBUQUE, IA
2240 20001001 010166 000000 DULUTH-SUPERIOR, MN-WI
2240 20011001 010032 000000 DULUTH-SUPERIOR, MN-WI
2240 20021001 010284 000000 DULUTH-SUPERIOR, MN-WI
2240 20031001 010368 000000 DULUTH-SUPERIOR, MN-WI
2240 20050101 010356 000000 DULUTH-SUPERIOR, MN-WI
2281 20001001 010553 000000 DUTCHESS COUNTY, NY
2281 20011001 010249 000000 DUTCHESS COUNTY, NY
2281 20021001 010532 000000 DUTCHESS COUNTY, NY
2281 20031001 010684 000000 DUTCHESS COUNTY, NY
2281 20050101 011657 000000 DUTCHESS COUNTY, NY
2290 20001001 008958 000000 EAU CLAIRE, WI
2290 20011001 008790 000000 EAU CLAIRE, WI
2290 20021001 008899 000000 EAU CLAIRE, WI
2290 20031001 008952 000000 EAU CLAIRE, WI
2290 20050101 009139 000000 EAU CLAIRE, WI
2320 20001001 008948 000000 EL PASO, TX
2320 20011001 009346 000000 EL PASO, TX
2320 20021001 009215 000000 EL PASO, TX
2320 20031001 009265 000000 EL PASO, TX
2320 20050101 009181 000000 EL PASO, TX
2330 20001001 009380 000000 ELKHART-GOSHEN, IN
2330 20011001 009145 000000 ELKHART-GOSHEN, IN
2330 20021001 009638 000000 ELKHART-GOSHEN, IN
2330 20031001 009722 000000 ELKHART-GOSHEN, IN
2330 20050101 009278 000000 ELKHART-GOSHEN, IN
2335 20001001 008534 000000 ELMIRA, NY
2335 20011001 008546 000000 ELMIRA, NY
2335 20021001 008415 000000 ELMIRA, NY
2335 20031001 008416 000000 ELMIRA, NY
2335 20050101 008445 000000 ELMIRA, NY
2340 20001001 007954 000000 ENID, OK
2340 20011001 008610 000000 ENID, OK
2340 20021001 008357 000000 ENID, OK
2340 20031001 008376 000000 ENID, OK
2340 20050101 009001 000000 ENID, OK
2360 20001001 009024 000000 ERIE, PA
2360 20011001 008985 000000 ERIE, PA
2360 20021001 008716 000000 ERIE, PA
2360 20031001 008925 000000 ERIE, PA
2360 20050101 008699 000000 ERIE, PA
2400 20001001 010604 000000 EUGENE-SPRINGFIELD, OR
